Label	Story
__label__332	"EF_INT_033 [Integration Pattern] As a ClientABC Employee, I want to evaluate the AP Taxable Reimbursements integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
__label__330	"EF_INT_035 [Validate] As a ClientABC Employee, I want to validate the AP Uncashed Checks integration from Oracle Cloud ERP to AUP Holder, so that data can flow smoothly."
__label__330	"EF_INT_035 [Build] As a ClientABC Employee, I want to build the AP Uncashed Checks integration from Oracle Cloud ERP to AUP Holder, so that data can flow smoothly."
__label__330	"EF_INT_035 [Technical Design] As a ClientABC Employee, I want to design the AP Uncashed Checks integration from Oracle Cloud ERP to AUP Holder, so that data can flow smoothly."
__label__330	"EF_INT_035 [Integration Pattern] As a ClientABC Employee, I want to evaluate the AP Uncashed Checks integration from Oracle Cloud ERP to AUP Holder, so that data can flow smoothly."
__label__333	"EF_INT_032 [Validate] As a ClientABC Employee, I want to validate the AR Customers integration from Oracle Cloud ERP to Acuity Contract Billing, so that data can flow smoothly."
__label__333	"EF_INT_032 [Build] As a ClientABC Employee, I want to build the AR Customers integration from Oracle Cloud ERP to Acuity Contract Billing, so that data can flow smoothly."
__label__333	"EF_INT_032 [Technical Design] As a ClientABC Employee, I want to design the AR Customers integration from Oracle Cloud ERP to Acuity Contract Billing, so that data can flow smoothly."
__label__333	"EF_INT_032 [Integration Pattern] As a ClientABC Employee, I want to evaluate the AR Customers integration from Oracle Cloud ERP to Acuity Contract Billing, so that data can flow smoothly."
__label__344	"EF_INT_008 [Validate] As a ClientABC Employee, I want to validate the Acuity AR Invoice integration from AR Import to Oracle Cloud ERP, so that data can flow smoothly."
__label__344	"EF_INT_008 [Build] As a ClientABC Employee, I want to build the Acuity AR Invoice integration from AR Import to Oracle Cloud ERP, so that data can flow smoothly."
__label__344	"EF_INT_008 [Technical Design] As a ClientABC Employee, I want to design the Acuity AR Invoice integration from AR Import to Oracle Cloud ERP, so that data can flow smoothly."
__label__344	"EF_INT_008 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Acuity AR Invoice integration from AR Import to Oracle Cloud ERP, so that data can flow smoothly."
__label__34	"As a Developer, I want to build the integration channels in Maximo for POET Strings, so that the integration team can comunicate with the system."
__label__34	"As a Developer, I want to build the integration channels in Maximo for POET Components, so that the integration team can comunicate with the system."
__label__34	"As a Developer, I want to Asses and Define the conversion effort to translate GL Components to POET, so that I can develop any required extensions."
__label__34	"As a developer, I will make the changes to the application - Chart of Accounts based on the common design defined so that the functionality can be achieved with POET structure"
__label__34	"As a Integration developer, I want to develop the integration structure, so that I can map POET strings from Oracle(Cloud) to SPC Maximo(INT-3)"
__label__34	"As a Integration developer, I want to design the data mapping on POET components from Oracle(Cloud)to SPC Maximo (INT-2) so that I can make the necessary changes"
__label__34	"As an Integration developer, I want to design the data mapping on POET strings from Oracle(Cloud) to SPC Maximo(INT-3) So that I can make the necessary changes workflow"
__label__34	"As an Integration developer, I want to develop the integration structure, So that I can map POET strings from Oracle(Cloud) to SPC Maximo(INT-3)"
__label__34	"As an Integration developer, I want to develop the integration structure So that I can map POET components from Oracle(Cloud)to SPC Maximo (INT-2)"
__label__34	"As a Integration developer, I want to design the data mapping on POET components from Oracle(Cloud)to SPC Maximo (INT-2) so that I can make the necessary changes"
__label__34	"As a Integration developer, I want to design the data mapping on POET strings from Oracle(Cloud) to SPC Maximo(INT-3) so that I can make the necessary changes"
__label__34	"As an integration developer, I want to develop the integration structure so that I can map POET components from Oracle(Cloud)to SPC Maximo (INT-2)"
__label__34	"As an integration developer, I want to develop the integration structure, so that I can map POET strings from Oracle(Cloud) to SPC Maximo(INT-3)"
__label__34	"As an integration developer, I want to design the data mapping on POET components from Oracle(Cloud)to SPC Maximo (INT-2) so that I can make the necessary changes"
__label__34	"As an integration developer, I want to design the data mapping on POET strings from Oracle(Cloud) to SPC Maximo(INT-3) so that I can make the necessary changes"
__label__339	"EF_INT_024 [Validate] As a ClientABC Employee, I want to validate the Actuals Costs integration from PowerPlan to Oracle Cloud ERP, so that data can flow smoothly."
__label__339	"EF_INT_023 [Validate] As a ClientABC Employee, I want to validate the Actuals Cost integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__339	"EF_INT_024 [Build] As a ClientABC Employee, I want to build the Actuals Costs integration from PowerPlan to Oracle Cloud ERP, so that data can flow smoothly."
__label__339	"EF_INT_023 [Build] As a ClientABC Employee, I want to build the Actuals Cost integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__339	"EF_INT_024 [Technical Design] As a ClientABC Employee, I want to design the Actuals Costs integration from PowerPlan to Oracle Cloud ERP, so that data can flow smoothly."
__label__339	"EF_INT_023 [Technical Design] As a ClientABC Employee, I want to design the Actuals Cost integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__339	"EF_INT_024 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Actuals Costs integration from PowerPlan to Oracle Cloud ERP, so that data can flow smoothly."
__label__339	"EF_INT_023 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Actuals Cost integration from Maximo to Oracle Cloud ERP, so that data can flow smoothly."
__label__12	"As member of the PMO, I need to make sure the HR team has access to TEAMS so they are able to log into TEAMS."
__label__12	"As member of the PMO, I need to make sure the HR team has access to JIRA so they are able to log into JIRA."
__label__12	"As an agile coach, I need to train the HR team on Agile Methodology so that they are educated on the process, terms, and expectations."
__label__12	"As an agile coach, I need to train the HR team on TEAMS so that they are able to upload and share project documentation."
__label__12	"As a team member, I need to be trained in JIRA so that I can communicate my work progress, risks, and issues to the rest of my team."
__label__132	"As a Reporting Lead, I want to assign Usage and Intent of Solutions - PowerPlan so that we can verify the PowerPlan solution fits into the program reporting strategy"
__label__132	"As a Reporting Lead, I want to prepare the foundational Reporting Matrix so that we can walk each of the team members through it to ensure they are comfortable"
__label__132	"As a Reporting Lead, I want to capture Inventory of PowerPlan Modules / Applications so that we can document and analyze the landscape of current-state Fixed Asset solutions"
__label__132	"As a Reporting Lead, I want to capture Inventory of Core A&T Applications so that we can determine and document the landscape of current-state reporting solutions"
__label__133	"As a Reporting Lead, I want to socialize the Reporting Strategy and Approach with the Team so we can move forward with design"
__label__353	"As a Reporting End User, I want to schedule meetings to discuss the hierarchy scope / usage for GL, so that we are able to discuss enterprise reporting across the platform"
__label__353	"As a Reporting End User, I want to ensure alignment with the Enterprise Hierarchy Approach for Projects, so that we enable standardized reporting across the enterprise."
__label__353	"As a Reporting End User, I want to ensure alignment with the Enterprise Hierarchy Approach for AR, so that we enable standardized reporting across the enterprise."
__label__353	"As a Reporting End User, I want to ensure alignment with the Enterprise Hierarchy Approach for the GL, so that we enable standardized reporting across the enterprise."
__label__331	"EF_INT_034 [Validate] As a ClientABC Employee, I want to validate the AP Reimbursements and Recovery integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
__label__331	"EF_INT_034 [Build] As a ClientABC Employee, I want to build the AP Reimbursements and Recovery integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
__label__331	"EF_INT_034 [Technical Design] As a ClientABC Employee, I want to design the AP Reimbursements and Recovery integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
__label__331	"EF_INT_034 [Integration Pattern] As a ClientABC Employee, I want to evaluate the AP Reimbursements and Recovery integration from Oracle Cloud ERP to SHIPS, so that data can flow smoothly."
__label__305	"EF_INT_126 [Build] As a ClientABC Employee, I want to build the Heirarchies DRM to FCCS integration from DRM to FCC so that data can flow smoothly."
__label__305	"EF_INT_126 [Technical Design] As a ClientABC Employee, I want to design the Heirarchies DRM to FCCS integration from DRM to FCC so that data can flow smoothly."
__label__319	"EF_INT_046 [Validate] As a ClientABC Employee, I want to validate the Bank Statement Files (BAI2) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__319	"EF_INT_046 [Build] As a ClientABC Employee, I want to build the Bank Statement Files (BAI2) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__319	"EF_INT_046 [Technical Design] As a ClientABC Employee, I want to design the Bank Statement Files (BAI2) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__319	"EF_INT_046 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Bank Statement Files (BAI2) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__326	"EF_INT_039 [Validate] As a ClientABC Employee, I want to validate the Bank Statement Files (BAI2) integration from BOA to Oracle Cloud ERP, so that data can flow smoothly."
__label__326	"EF_INT_039 [Build] As a ClientABC Employee, I want to build the Bank Statement Files (BAI2) integration from BOA to Oracle Cloud ERP, so that data can flow smoothly."
__label__326	"EF_INT_039 [Technical Design] As a ClientABC Employee, I want to design the Bank Statement Files (BAI2) integration from BOA to Oracle Cloud ERP, so that data can flow smoothly."
__label__326	"EF_INT_039 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Bank Statement Files (BAI2) integration from BOA to Oracle Cloud ERP, so that data can flow smoothly."
__label__193	"As a HR analyst, I want to align with HR and validate that potential changes to the contingent workers process in the future are taken into account so that we can continue onboarding contractors"
__label__193	"As a HR analyst, I want to validate that contingent workers are working under valid contracts so that we can onboard contractors"
__label__342	"EF_INT_017 [Validate] As a ClientABC Employee, I want to validate the COA Segments and Hierarchies integration from DRM to Oracle Cloud ERP, so that data can flow smoothly."
__label__342	"EF_INT_017 [Build] As a ClientABC Employee, I want to build the COA Segments and Hierarchies integration from DRM to Oracle Cloud ERP, so that data can flow smoothly."
__label__342	"EF_INT_017 [Technical Design] As a ClientABC Employee, I want to design the COA Segments and Hierarchies integration from DRM to Oracle Cloud ERP, so that data can flow smoothly."
__label__342	"EF_INT_017 [Integration Pattern] As a ClientABC Employee, I want to evaluate the COA Segments and Hierarchies integration from DRM to Oracle Cloud ERP, so that data can flow smoothly."
__label__325	"EF_INT_040 [Validate] As a ClientABC Employee, I want to validate the COA Validation integration from Oracle Cloud ERP to Multiple, so that data can flow smoothly."
__label__325	"EF_INT_040 [Build] As a ClientABC Employee, I want to build the COA Validation integration from Oracle Cloud ERP to Multiple, so that data can flow smoothly."
__label__325	"EF_INT_040 [Technical Design] As a ClientABC Employee, I want to design the COA Validation integration from Oracle Cloud ERP to Multiple, so that data can flow smoothly."
__label__325	"EF_INT_040 [Integration Pattern] As a ClientABC Employee, I want to evaluate the COA Validation integration from Oracle Cloud ERP to Multiple, so that data can flow smoothly."
__label__78	"As an HCM Project team lead, I need to review the agile process with my project team in order to make necessary changes to our working environment to be most efficient."
__label__78	"As a member of the HR Leadership team, I need to identify stakeholders inside and outside of the project who I want to inform of project status/milestones in order to educate the business for buy in throughout the project"
__label__78	"As an HCM Project team lead, I need to review the agile process with my project team in order to make necessary changes to our working environment to be most efficient."
__label__245	"As a developer, I will extract Invoices from Maximo so that the structure can be provided to other teams"
__label__245	"As a developer, I will extract Receipts from Maximo so that the structure can be provided to other teams"
__label__245	"As a developer, I will extract POs from Maximo so that the structure can be provided to other teams"
__label__245	"As a conversion lead, I will convert Suppliers so that conversion mechanism can be tested"
__label__245	"As a conversion lead, I will convert GL accounts to POET so that conversion mechanism can be tested"
__label__245	"As a developer, I will extract Invoices from Maximo so that the structure can be provided to other teams"
__label__245	"As a developer, I will extract Receipts from Maximo so that the structure can be provided to other teams"
__label__245	"As a developer, I will extract POs from Maximo so that the structure can be provided to other teams"
__label__245	"As a conversion lead, I will convert Suppliers so that conversion mechanism can be tested"
__label__245	"As a conversion lead, I will convert GL accounts to POET so that conversion mechanism can be tested"
__label__10	"As a technical team lead, I need to review and finalize the conversion plan so that the conversions can be designed and tested."
__label__10	"As a scrum master, I will define how Maximo will implement POET using the conversion tool so that all values are converted from GL to POET"
__label__10	"As a developer, I will validate/review the conversion strategy created by the conversion team so that all artifacts which need to converted in the following sprints planned"
__label__10	"As a developer, I will validate/review the conversion strategy created by the conversion team so that all artifacts which need to converted in the following sprints are planned"
__label__10	"As a technical team lead, I need to review and finalize the conversion plan so that the conversions can be designed and tested."
__label__71	"As an HR Technical Admin, I need to review the program-wide conversion strategy, so that I can add HR's input to the strategy"
__label__71	"As an HR Technical Team, I need to identify conversions needed for legacy work in SHIPS and STARS, so that I can support a successful interim-state architecture"
__label__71	"As an HR Technical Team member, I need to design SHIPS conversion files, so that I can support a successful interim state"
__label__71	"As a technical lead, I need to evaluate what, if any, data validation tools are available in the future cloud product, so that I can communicate to the program conversion team what is available"
__label__322	"EF_INT_043 [Validate] As a ClientABC Employee, I want to validate the Credit card transaction (iExpense) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__322	"EF_INT_043 [Build] As a ClientABC Employee, I want to build the Credit card transaction (iExpense) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__322	"EF_INT_043 [Technical Design] As a ClientABC Employee, I want to design the Credit card transaction (iExpense) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__322	"EF_INT_043 [Integration Pattern] As a ClientABC Employee, I want to evaluate the Credit card transaction (iExpense) integration from Wells Fargo to Oracle Cloud ERP, so that data can flow smoothly."
__label__229	"As a time design team member, I need to determine stakeholders for any time future state user stories, so that all impacted parties are included in design discussions as appropriate."
__label__229	"As a time design team member, I need to determine stakeholders for any STARS Legacy user stories, so that all impacted parties are included in design discussions as appropriate."
__label__229	"As a Time Admin, I need to determine which integrations are affected by the COA changes so that I can design the integration updates."
__label__231	"As a member of the payroll design team, I want to draft my guiding principles for what I want ClientABC Company Payroll to look like in the Cloud future state, so that I can ensure that my design decisions adhere to my guiding principles."
__label__231	"As a pay design team member, I need to determine Stakeholders for any process change user stories, so that all impacted parties are included in design discussions as appropriate."
__label__28	"As a ES AP Tech, I am able to awknowledge journal entries, so that data between systems are in sync"
__label__271	"As a data validation lead, I need to socialize the Data Validation & Reconciliation (DVR) Roles & Responsibilities to the SCM Workstream so that they can understand the DVR process and identify data approvers."
__label__271	"As a data validation lead, I need to socialize the Data Validation & Reconciliation (DVR) Roles & Responsibilities to the HR Workstream so that they can understand the DVR process and identify data approvers."
__label__271	"As a data validation lead, I need to socialize the Data Validation & Reconciliation (DVR) Roles & Responsibilities to the Financial Planning & Budgeting Workstream so that they can understand the DVR process and identify data approvers."
__label__271	"As a data validation lead, I need to socialize the Data Validation & Reconciliation (DVR) Roles & Responsibilities to the Accounting & Treasury Workstream so that they can understand the DVR process and identify data approvers."
__label__271	"As a data Validation Lead, I need to identify report type outputs for reconciliation so the functional teams can check the accuracy and quality of source data before importing the data to the target system"
__label__271	"As a data Validation Lead, I need to define the reconciliation method for each data object to be converted automatically so the functional teams can check the accuracy and quality of source data before importing the data to the target system"
__label__244	"As an HR project team member, I need to define the current state onboarding process across the enterprise in order to identify needs and gaps within the current process"
__label__244	"As an HR project team member, I need to understand Bain's research and recommended change in order to identify potential changes to future processes"
__label__244	"As an HR project team member, I need to define the current state onboarding process across the enterprise in order to identify needs and gaps within the current process"
__label__244	"As a HR project team member, I need to determine ownership of the Contingent Worker (CWR) process so that I can define a strategy for CWRs in the future"
__label__76	"As a technical team member, I need to analyze the Cool Employee PRCN impacts, so that I can determine the impacts on downstream applications"
__label__76	"As a technical team member, I need to analyse the SHIPS PRCN impacts, so that I can identify and begin to remediate the impacts"
__label__76	"As a STARS Admin, I need to analyze the STARS PRCN impacts, so that I can identify and begin to remediate the relevant impacts"
__label__76	"As a technical team member, I need to analyze the SHIPS PRCN impacts, so that I can identify and begin to remediate the impacts"
__label__76	"As an HR team member, I need to better understand how department trees work in HCM cloud and are maintained as organizations move in order to determine if we will utilize department trees in future state."
__label__76	As an HR project team member we need to identify key attributes as part of dept creation in order to understand information needed for future state.
__label__76	"As a HR team lead, I want to define the process for maintaining org hierarchies so that org hierarchies can be effectively leveraged across the enterprise"
__label__225	"As a Budgeting lead analyst, I need to capture an inventory of management reports needed so that I can determine future state reporting needs."
__label__191	"As a HR Team member, I need to document all functionality needed in CRM so that HR Tech can begin development."
__label__191	"As a HR project team member, I want to identify timeline for CRM so that I can finalize the short-term case management option"
__label__191	"As a HR project team member, I want to define the future state strategy for CRM (Case Management) so that I can plan for how CRM will fit into the HR end state"
__label__191	"As a HR project team member, I want to identify the upgrade needs for CRM to meet MVP (cost and resource requirements) so that I can determine if an alternative solution will be needed"
__label__350	"As a HR project team member, I was to identify integration points for regulatory reporting so that I understand where data is coming and going"
__label__350	"As a HR project team member, I want to identify other capabilities leveraged in Berkshire so that I can understand current requirements"
__label__350	"As a HR project team member, I want to identify current processes for regulatory reporting (e.g. EEO, Adverse Impact, VETS100, Affirmative Action) so that I can understand the the requirements that will need to be accounted for in the future state"
__label__69	"As an HR reporing team lead, I need to identify all sources that relate to the workforce so that I may begin to have conversations with the stakeholders and make decisions on the data that we will leverage for the data warehouse"
__label__69	As an HR reporting team lead I need to define current state approach to reporting hierarchies so that I may evaluate options in the cloud environment
__label__69	As an HR systems team lead I need to review cloud strategy for hierarchies so that I may communicate to reporting the options for future state
__label__69	As an HR reporting team lead I need to understand Data segmentation so that I may design sufficient data security methodologies
__label__69	As an HR reporting team lead I need to establish core resources so that the key people are in place to make decisions and design reporting environment
__label__69	As an HR reporting lead I need to define guidelines for reporting decisions so that all new processes follow the same acceptance criteria
__label__69	As an HR Reporting lead I need to establish collaboration with Enterprise plans so that I may have the necessary relationships to design enterprise reports
__label__69	As an HR Reporting lead I need to understand the future state offering for reporting so that I may design the stragey for delivering information to the enterprise
__label__69	"As an HR reporting team lead, I need to identify all sources that relate to the workforce so that I may begin to have conversations with the stakeholders and make decisions on the data that we will leverage for the data warehouse"
__label__69	"As a Reporting Lead, I need to compile a list of all reports across modules currently in production today, so that I can develop my RICE list"
__label__69	As an HR reporting team lead I need to define current state approach to reporting hierarchies so that I may evaluate options in the cloud environment
__label__69	As an HR reporting team lead I need to understand Data segmentation so that I may design sufficient data security methodologies
__label__69	As an HR reporting lead I need to define guidelines for reporting decisions so that all new processes follow the same acceptance criteria As an HR reporting team lead I need to establish core resources so that the key people are in place to make decisions and design reporting environment
__label__273	"As a data Validation Lead, I need to automate the process for Interpreting report output for reconciliation so the functional teams can check the accuracy and quality of source data before importing the data to the target system"
__label__243	"As a HR project team member, I want to identify the support for a tuition reimbursement solution in cloud so that I understand what it would take to maintain in the future"
__label__243	"As an HR project team member, I want to determine how tuition can be managed within the cloud in order to determine options for implementation"
__label__243	"As a HR project team member, I want to identify the administration options for tuition reimbursement long term so that I can determine the approach for future state"
__label__107	"As a ClientABC Employee, I want an API build and tested for DRM to Oracle ERP COA Interface so that applications are integrated."
__label__107	"As a ClientABC employee, I want a technical design for DRM to Oracle ERP COA Interface integrations so that it can be maintained and updated as required."
__label__107	"As a ClientABC Employee, I want data mapping defined for API for DRM to Oracle ERP COA Interface so that there is consistent flow of data."
__label__97	"As a ClientABC Employee, I want an API build and tested for DRM to Oracle Projects Interface so that applications are integrated."
__label__97	"As a ClientABC employee, I want a technical design for integrations DRM to Oracle Projects Interface so that it can be maintained and updated as required."
__label__97	"As a ClientABC Employee, I want data mapping defined for DRM to Oracle Projects Interface so that there is consistent flow of data."
__label__101	"As a ClientABC employee, I want a technical design for integrations Expenditure to Oracle Projects Interface so that it can be maintained and updated as required."
__label__110	"As a ClientABC Employee, I want an API build and tested for GL Misc Inbound Interface so that applications are integrated."
__label__110	"As a ClientABC employee, I want a technical design for integrations GL Misc Inbound Interface so that it can be maintained and updated as required."
__label__110	"As a ClientABC Employee, I want data mapping defined for GL Misc Inbound Interface so that there is consistent flow of data."
__label__109	"As a ClientABC employee, I want a technical design for integrations GL Misc Outbound Interface so that it can be maintained and updated as required."
__label__109	"As a ClientABC Employee, I want data mapping defined for GL Misc Outbound Interface so that there is consistent flow of data."
__label__99	"As a ClientABC Employee, I want an API build and tested for Oracle Project to PowerPlan s Interface so that applications are integrated."
__label__99	"As a ClientABC employee, I want a technical design for integrations Oracle Project to PowerPlan s Interface so that it can be maintained and updated as required."
__label__99	"As a ClientABC Employee, I want data mapping defined for Oracle Project to PowerPlan s Interface so that there is consistent flow of data."
__label__128	"As a ClientABC employee, I want a technical design for Inventory Transactions Interface so that it can be maintained and updated as required."
__label__128	"As a ClientABC Employee, I want an API built and tested for Inventory Transactions Interface so that applications are integrated"
__label__128	"As a ClientABC Employee, I want data mapping defined for Inventory Transactions Interface so that there is consistent flow of data."
__label__116	"As a ClientABC Employee, I want an API build and tested for Oracle Projects to EPBCS Interface, so that applications are integrated."
__label__116	"As a ClientABC employee, I want a technical design for integrations Oracle Projects to EPBCS Interface, so that it can be maintained and updated as required."
__label__116	"As a ClientABC Employee, I want data mapping defined for Oracle Projects to EPBCS Interface, so that there is consistent flow of data"
__label__108	"As a ClientABC Employee, I want an API build and tested for PO Interface so that applications are integrated."
__label__108	"As a ClientABC employee, I want a technical design for integrations PO Interface so that it can be maintained and updated as required."
